UniqueID,IDnotebook,CollectionDate,SeasonDay,Location,CollectorName,InfectionDate,Dose,DoseBacteriaNumber,BacterialSpecies,Treatment,Death_date,Days_post_infection,Status,PronotumLength,PronotumMeasured,ElytralLength,ElytralMeasured,Mass,MassMeasured,Notes,PhysiologicalCondition,ELBins,MassBins,SeasonDayBins
A263,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,01_uninjected,01_uninjected ,16-Jul,9,1,1.75,Y,8.01,Y,0.0186,Y,,0.002322097,2,1,1
A267,DP17,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,01_uninjected,01_uninjected ,15-Jul,8,1,2.99,Y,8.48,Y,0.0238,Y,,0.002806604,2,1,1
A259,AZ61,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,01_uninjected,01_uninjected ,19-Jul,12,1,3.7,Y,9.45,Y,0.026,Y,,0.002751323,3,1,1
A269,DP19,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Deeshani Patel ,7-Jul,NA,0,01_uninjected,01_uninjected ,15-Jul,8,1,3.54,Y,9.71,Y,0.0288,Y,,0.002966014,3,2,1
A272,MJT51,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,7-Jul,NA,0,01_uninjected,01_uninjected ,13-Jul,6,1,2.85,Y,9.79,Y,0.0309,Y,,0.003156282,3,2,1
A271,MJT35,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Maddy Tuffy ,7-Jul,NA,0,01_uninjected,01_uninjected ,16-Jul,9,1,2.5,Y,9.59,Y,0.0313,Y,,0.003263816,3,2,1
A261,B10,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,7-Jul,NA,0,01_uninjected,01_uninjected ,19-Jul,12,1,2.89,Y,9.9,Y,0.0325,Y,,0.003282828,3,2,1
A270,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,01_uninjected,01_uninjected ,20-Jul,13,1,2.11,Y,9.41,Y,0.0341,Y,,0.003623804,3,2,1
A268,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,01_uninjected,01_uninjected ,9-Jul,2,1,2.71,Y,9.24,Y,0.0351,Y,,0.003798701,3,2,1
A265,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,01_uninjected,01_uninjected ,18-Jul,11,1,3.61,Y,10.24,Y,0.0368,Y,,0.00359375,3,2,1
A256,AZ58,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,01_uninjected,01_uninjected ,19-Jul,12,1,2.62,Y,10.45,Y,0.0371,Y,,0.003550239,4,2,1
A257,AZ66,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,01_uninjected,01_uninjected ,18-Jul,11,1,2.26,Y,8.76,Y,0.0386,Y,,0.004406393,2,2,1
A262,B13,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,7-Jul,NA,0,01_uninjected,01_uninjected ,21-Jul,14,1,3.1,Y,9.64,Y,0.0389,Y,,0.00403527,3,2,1
A258,AZ63,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,01_uninjected,01_uninjected ,20-Jul,13,1,2.74,Y,10.03,Y,0.0414,Y,,0.004127617,3,3,1
A260,AZ69,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,01_uninjected,01_uninjected ,16-Jul,9,1,3.09,Y,10.61,Y,0.0433,Y,,0.004081056,4,3,1
A255b,AZ67,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,7-Jul,NA,0,01_uninjected,01_uninjected ,11-Jul,4,1,2.45,Y,9.6,Y,0.044,Y,,0.004583333,3,3,1
A266,SEL,6-Jul,9,"USA: Montour Co, Bucknell Natural Area",Sarah Lower ,7-Jul,NA,0,01_uninjected,01_uninjected ,16-Jul,9,1,3.01,Y,10.04,Y,0.0538,Y,,0.005358566,3,4,1
A356,MJT56,10-Jul,13,"USA: Union Co, Bucknell Farm",Maddy Tuffy ,11-Jul,NA,0,01_uninjected,01_uninjected ,14-Jul,3,1,2.22,Y,8.16,Y,0.0304,Y,,0.00372549,2,2,1
A355,MJT52,10-Jul,13,"USA: Union Co, Bucknell Farm",Maddy Tuffy ,11-Jul,NA,0,01_uninjected,01_uninjected ,19-Jul,8,1,2.35,Y,9.04,Y,0.0315,Y,,0.003484513,3,2,1
A418,AZ82,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,01_uninjected,01_uninjected ,18-Jul,5,1,2.12,Y,7.93,Y,0.0155,Y,,0.001954603,2,1,1
A415,AZ89,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,01_uninjected,01_uninjected ,23-Jul,10,1,2.89,Y,8.32,Y,0.0219,Y,,0.002632212,2,1,1
A414,AZ88,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,01_uninjected,01_uninjected ,20-Jul,7,1,2.78,Y,9.04,Y,0.0222,Y,,0.002455752,3,1,1
A406,B61,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,01_uninjected,01_uninjected ,21-Jul,8,1,2.16,Y,8.57,Y,0.0227,Y,,0.002648775,2,1,1
A422,AZ75,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,01_uninjected,01_uninjected ,26-Jul,13,1,3.07,Y,8.28,Y,0.0285,Y,,0.003442029,2,2,1
A419,AZ78,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,01_uninjected,01_uninjected ,19-Jul,6,1,2.46,Y,10.04,Y,0.0289,Y,,0.002878486,3,2,1
A421,AZ81,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Anqi Zang ,13-Jul,NA,0,01_uninjected,01_uninjected ,23-Jul,10,1,2.54,Y,8.82,Y,0.0305,Y,,0.00345805,2,2,1
A412,B55,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,01_uninjected,01_uninjected ,25-Jul,12,1,2.86,Y,8.96,Y,0.0357,Y,,0.003984375,3,2,1
A408,B68,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,01_uninjected,01_uninjected ,27-Jul,14,1,3.33,Y,10.74,Y,0.0383,Y,,0.003566108,4,2,1
A413,B51,12-Jul,15,"USA: Montour Co, Bucknell Natural Area",Zhengkai Zhu ,13-Jul,NA,0,01_uninjected,01_uninjected ,26-Jul,13,1,2.82,Y,9.83,Y,0.0486,Y,,0.004944049,3,3,1
A699,DP55,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Deeshani Patel ,15-Jul,NA,0,01_uninjected,01_uninjected ,18-Jul,3,1,2.56,Y,8.06,Y,0.0196,Y,,0.002431762,2,1,2
A698,C10,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Zhengkai Zhu ,15-Jul,NA,0,01_uninjected,01_uninjected ,24-Jul,9,1,2.49,Y,8.28,Y,0.0211,Y,,0.002548309,2,1,2
A701,VS114,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Victor Sustinov ,15-Jul,NA,0,01_uninjected,01_uninjected ,27-Jul,12,1,2.36,Y,8.51,Y,0.0216,Y,,0.00253819,2,1,2
A692,EVB54,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,22-Jul,7,1,2.24,Y,8,Y,0.0251,Y,,0.0031375,2,1,2
A702,DS16,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Devin ,15-Jul,NA,0,01_uninjected,01_uninjected ,23-Jul,8,1,2.32,Y,8.5,Y,0.0251,Y,,0.002952941,2,1,2
A690,EVB90,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,26-Jul,11,1,2.01,Y,8.96,Y,0.0263,Y,,0.002935268,3,1,2
A694,EVB58,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Emily Van Beek ,15-Jul,NA,0,01_uninjected,01_uninjected ,26-Jul,11,1,2.75,Y,9.31,Y,0.0263,Y,,0.002824919,3,1,2
A703,VS123,14-Jul,17,"USA: Union Co, Bucknell Ropes Course",Victor Sustinov ,15-Jul,NA,0,01_uninjected,01_uninjected ,24-Jul,9,1,2.67,Y,9.07,Y,0.0278,Y,,0.00306505,3,2,2
